Timestamp,Participant ID (you can use initials or any identifier),  Education Level  ,Background in Reinforcement Learning (RL)  ,Q1,Q2,Q3,Q4,Decision Tree,Q1 Estimated Time Cost (s),Q2 Estimated Time Cost (s),Q3 Estimated Time Cost (s),Q4 Estimated Time Cost (s)
28/12/2025 20:03,wmy,Undergraduate,Basic familiarity,Class 5,Class 7,Class 6,Class 6,5. Very High Trust,12.6,12.6,12,10.5
28/12/2025 20:04,liu,Undergraduate,Basic familiarity,Class 6,Class 5,Class 6,Class 6,5. Very High Trust,20.7,23.2,18,17
28/12/2025 20:05,tom,Master,Some experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,12.5,10,9,11.1
28/12/2025 20:07,yuhan,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 5,5. Very High Trust,16,15,18.7,23
28/12/2025 20:09,eric,PhD,Extensive experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,8.2,6.2,7,8
28/12/2025 20:10,zyy,Undergraduate,No prior experience,Class 6,Class 7,Class 6,Class 8,4. High Trust,27,25,24,30
28/12/2025 20:13,mark,Master,Some experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,12.4,10.6,11.5,12.4
28/12/2025 20:23,qing,Undergraduate,Basic familiarity,Class 5,Class 7,Class 6,Class 6,5. Very High Trust,24,16,17,19
28/12/2025 20:24,anna,Master,Some experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,9.8,15.6,11,12
28/12/2025 20:25,hxr,Undergraduate,Basic familiarity,Class 6,Class 7,Class 5,Class 6,4. High Trust,15.6,18.7,22,18
28/12/2025 20:26,kevin,Master,Extensive experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,8.2,8,6.9,8
28/12/2025 20:28,lin,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,16,19,15,15.6
28/12/2025 20:29,lucas,PhD,Extensive experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,5.9,7.2,6.4,8.5
28/12/2025 20:30,yong,Undergraduate,Some experience,Class 5,Class 7,Class 6,Class 6,4. High Trust,18,10,13.2,11
28/12/2025 20:31,peterA,Master,Some experience,Class 6,Class 7,Class 8,Class 6,5. Very High Trust,10,12,17,12
28/12/2025 20:32,ysq,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,17,21,18,15
28/12/2025 20:33,ivan,Master,Extensive experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,8,7,6,8
28/12/2025 20:34,ming,Undergraduate,No prior experience,Class 7,Class 7,Class 6,Class 6,3. Neutral,31,24,23,25
28/12/2025 20:35,sophie,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 6,4. High Trust,16,20,17,18
28/12/2025 20:36,zhang,Undergraduate,Some experience,Class 6,Class 7,Class 6,Class 7,4. High Trust,12.1,10.5,11.6,16.7
28/12/2025 20:38,david,PhD,Some experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,10.7,11.2,10.1,11.8
28/12/2025 20:39,ran,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 6,4. High Trust,22,20,17,15.8
28/12/2025 20:40,emma,Master,Some experience,Class 8,Class 7,Class 6,Class 6,5. Very High Trust,18.4,11.7,12.7,10
28/12/2025 20:41,xw,Master,Some experience,Class 8,Class 7,Class 6,Class 6,5. Very High Trust,18.4,11.7,12,11
28/12/2025 20:42,jason,Master,Some experience,Class 6,Class 7,Class 6,Class 5,4. High Trust,24.2,24,23,30
28/12/2025 20:44,lei-L,Undergraduate,Basic familiarity,Class 6,Class 7,Class 8,Class 6,5. Very High Trust,17,17,22,16
28/12/2025 20:45,nancy,PhD,Extensive experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,5.9,7,6.4,7.6
28/12/2025 20:47,Hao-Y,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 8,4. High Trust,23.1,22.6,17.9,22.8
28/12/2025 20:49,zmj,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 6,4. High Trust,9.4,11.2,13.8,10.6
